"name","price","rooms","bathrooms","area","url"
"Trilocale via pinerolo, Rivalta di Torino","€ 78.000","3","1","None","https://www.immobiliare.it/63854720-Vendita-Trilocale-via-pinerolo-Rivalta-di-Torino.html"
"Bilocale via Luigi Salvatore Cherubini 20, Torino","€ 49.000","2","1","55","https://www.immobiliare.it/63858966-Vendita-Bilocale-via-Luigi-Salvatore-Torino.html"
"Quadrilocale via Luigi Salvatore Cherubini 20, Torino","€ 79.000","4","1","85","https://www.immobiliare.it/63857262-Vendita-Quadrilocale-via-Luigi-Salvatore-Torino.html"
"Quadrilocale via Bibiana, Torino","€ 108.000","2","95","None","https://www.immobiliare.it/63854132-Vendita-Quadrilocale-via-Bibiana-Torino.html"
"Quadrilocale corso Monte Cucco, Torino","€ 218.000","4","1","130","https://www.immobiliare.it/63854506-Vendita-Quadrilocale-corso-Monte-Cucco-Torino.html"
"Bilocale via Erminio Macario 8, Chieri","€ 90.000","2","2","60","https://www.immobiliare.it/63857368-Vendita-Bilocale-via-Erminio-Macario-8-Chieri.html"
"Appartamento via Amendola, Chieri","€ 260.000","5","2","155","https://www.immobiliare.it/63857376-Vendita-Appartamento-via-Amendola-Chieri.html"
"Trilocale via Modesto Moriondo 30, Rivalta di Torino","€ 119.000","3","1","None","https://www.immobiliare.it/63852592-Vendita-Trilocale-via-Modesto-Moriondo-30-Rivalta-di-Torino.html"
"Trilocale via Morazzone, Torino","€ 156.000","3","1","75","https://www.immobiliare.it/63855156-Vendita-Trilocale-via-Morazzone-Torino.html"
"Appartamento via Spano 14-6, Torino","€ 310.000","5+","2","155","https://www.immobiliare.it/63857430-Vendita-Appartamento-via-Spano-14-6-Torino.html"
"Quadrilocale via Freinetto 51, Coazze","€ 92.000","4","1","100","https://www.immobiliare.it/63857386-Vendita-Quadrilocale-via-Freinetto-51-Coazze.html"
"Monolocale via Spano 14-6, Torino","€ 98.000","1","1","50","https://www.immobiliare.it/63857424-Vendita-Monolocale-via-Spano-14-6-Torino.html"
"Appartamento strada Comunale Santa Margherita, Torino","€ 465.000","5","2","168","https://www.immobiliare.it/63857464-Vendita-Appartamento-strada-Comunale-Santa-Torino.html"
"Trilocale via Riva 24, Moriondo Torinese","€ 155.000","3","1","105","https://www.immobiliare.it/63857360-Vendita-Trilocale-via-Riva-24-Moriondo-Torinese.html"
"Bilocale via Vittorio Emanuele II 47, Chieri","€ 125.000","2","1","74","https://www.immobiliare.it/63857366-Vendita-Bilocale-via-Vittorio-Emanuele-II-47-Chieri.html"
"Monolocale via Spano 14-6, Torino","€ 98.000","1","1","50","https://www.immobiliare.it/63857422-Vendita-Monolocale-via-Spano-14-6-Torino.html"
"Bilocale via Piedicavallo, Torino","€ 58.000","2","1","45","https://www.immobiliare.it/63860838-Vendita-Bilocale-via-Piedicavallo-Torino.html"
"Quadrilocale corso Roma, Moncalieri","€ 149.000","1","90","None","https://www.immobiliare.it/63856608-Vendita-Quadrilocale-corso-Roma-Moncalieri.html"
"Appartamento via Spano 14-6, Torino","€ 288.000","5+","2","155","https://www.immobiliare.it/63857428-Vendita-Appartamento-via-Spano-14-6-Torino.html"
"Trilocale strada Comunale Superga 298, Torino","€ 220.000","3","1","90","https://www.immobiliare.it/63857472-Vendita-Trilocale-strada-Comunale-Superga-298-Torino.html"
"Trilocale via Arona 7, Torino","€ 85.000","3","1","66","https://www.immobiliare.it/63857500-Vendita-Trilocale-via-Arona-7-Torino.html"
"Quadrilocale via Spano 6-10, Torino","€ 288.000","4","2","122","https://www.immobiliare.it/63857426-Vendita-Quadrilocale-via-Spano-6-10-Torino.html"
"Quadrilocale strada del Portone 35-6, Torino","€ 205.000","4","1","95","https://www.immobiliare.it/63857448-Vendita-Quadrilocale-strada-del-Portone-35-6-Torino.html"
"Quadrilocale via Guglielmo Marconi 58, Carmagnola","€ 149.000","4","1","None","https://www.immobiliare.it/63857058-Vendita-Quadrilocale-via-Guglielmo-Marconi-58-Carmagnola.html"
"Villa via colombo, Orbassano","€ 379.000","5+","3","300","https://www.immobiliare.it/63858264-Vendita-Villa-via-colombo-Orbassano.html"
